,Home Team Initials,Away Team Initials,Weight,Home Goal Total
280,GER,ARG,3,
281,GER,AUS,1,
282,GER,AUT,1,
283,GER,BEL,2,
284,GER,BOL,1,
285,GER,BRA,1,
286,GER,CRC,1,
287,GER,CRO,1,
288,GER,ENG,1,
289,GER,ESP,2,
290,GER,GHA,1,
291,GER,IRL,1,
292,GER,IRN,1,
293,GER,ITA,1,
294,GER,KOR,2,
295,GER,KSA,1,
296,GER,MEX,1,
297,GER,PAR,1,
298,GER,POL,1,
299,GER,POR,2,
300,GER,SRB,1,
301,GER,SWE,2,
302,GER,USA,2,
303,GER,YUG,1,
304,GHA,AUS,1,
305,GHA,GER,1,
306,GHA,USA,2,
307,GRE,ARG,1,
308,GRE,CIV,1,
309,GRE,NGA,2,
310,HAI,POL,1,
311,HON,CHI,1,
312,HON,ECU,1,
313,HON,NIR,1,
314,HON,SUI,1,
315,HON,YUG,1,
316,HUN,ARG,1,
317,HUN,BRA,2,
318,HUN,BUL,2,
319,HUN,CAN,1,
320,HUN,EGY,1,
321,HUN,ENG,1,
322,HUN,FRA,1,
323,HUN,FRG,1,
324,HUN,INH,1,
325,HUN,KOR,1,
326,HUN,MEX,1,
327,HUN,SLV,1,
328,HUN,SUI,1,
329,HUN,SWE,1,
330,HUN,URU,1,
331,HUN,WAL,1,
332,IRL,CMR,1,
333,IRL,EGY,1,
334,IRL,NED,1,
335,IRL,NOR,1,
336,IRL,ROU,1,
337,IRN,ANG,1,
338,IRN,NGA,1,
339,IRQ,BEL,1,
340,IRQ,MEX,1,
341,ITA,ARG,4,
342,ITA,AUS,1,
343,ITA,AUT,4,
344,ITA,BEL,1,
345,ITA,BRA,2,
346,ITA,CHI,2,
347,ITA,CMR,2,
348,ITA,CRC,1,
349,ITA,CRO,1,
350,ITA,ECU,1,
351,ITA,ENG,1,
352,ITA,ESP,3,
353,ITA,FRA,5,
354,ITA,FRG,2,
355,ITA,GHA,1,
356,ITA,HAI,1,
357,ITA,HUN,2,
358,ITA,IRL,2,
